"location","population","highest_inf_count","infection_rate"
"Sierra Leone","7976985",6315,"0.0007916525"
"Mali","20250834",14642,"0.00072303193"
"Benin","12123198",8608,"0.00071004365"
"Burundi","11890781",8088,"0.0006801908"
"Taiwan","23816775",15782,"0.0006626422"
"Burkina Faso","20903278",13621,"0.00065162027"
"New Zealand","4822233",2891,"0.0005995148"
"Democratic Republic of Congo","89561404",51889,"0.00057936786"
"Chad","16425859",4978,"0.00030305874"
"Yemen","29825968",7165,"0.0002402269"
"Niger","24206636",5687,"0.00023493558"
"Marshall Islands","59194",4,"6.7574416e-05"
"China","1439323774",93889,"6.5231325e-05"
"Solomon Islands","686878",20,"2.9117253e-05"
"Tanzania","59734213",1017,"1.7025419e-05"
"Kiribati","119446",2,"1.6743968e-05"
"Samoa","198410",3,"1.5120206e-05"
"Vanuatu","307150",4,"1.3022953e-05"
"Micronesia (country)","115021",1,"8.6940645e-06"
